Year,State,ProducerType,FuelSource,Nameplate_Capacity_(Megawatts),Summer_Capacity_(Megawatts)
2003,HI,Total Electric Power Industry,Other Biomass,114,109
2003,HI,Total Electric Power Industry,Other Gases,9,9
2003,HI,Total Electric Power Industry,Petroleum,"2,089.00","1,882.00"
2003,HI,Total Electric Power Industry,Wind,11,11
2003,IA,"Combined Heat and Power, Commercial Power",All Sources,71,71
2003,IA,"Combined Heat and Power, Commercial Power",Coal,62,63
2003,IA,"Combined Heat and Power, Commercial Power",Natural Gas,4,4
2003,IA,"Combined Heat and Power, Commercial Power",Other Biomass,3,3
2003,IA,"Combined Heat and Power, Commercial Power",Petroleum,2,2
2003,IA,"Combined Heat and Power, Industrial Power",All Sources,371,365
2003,IA,"Combined Heat and Power, Industrial Power",Coal,362,357
2003,IA,"Combined Heat and Power, Industrial Power",Petroleum,9,8
2003,IA,"Electric Generators, Electric Utilities",All Sources,"9,705.00","9,093.00"
2003,IA,"Electric Generators, Electric Utilities",Coal,"5,946.00","5,666.00"
2003,IA,"Electric Generators, Electric Utilities",Hydroelectric,129,136
2003,IA,"Electric Generators, Electric Utilities",Natural Gas,"1,953.00","1,710.00"
2003,IA,"Electric Generators, Electric Utilities",Nuclear,597,562
2003,IA,"Electric Generators, Electric Utilities",Other Biomass,98,103
2003,IA,"Electric Generators, Electric Utilities",Petroleum,977,912
2003,IA,"Electric Generators, Electric Utilities",Wind,6,4
2003,IA,"Electric Generators, Independent Power Producers",All Sources,544,544
2003,IA,"Electric Generators, Independent Power Producers",Hydroelectric,2,2
2003,IA,"Electric Generators, Independent Power Producers",Natural Gas,1,1
2003,IA,"Electric Generators, Independent Power Producers",Other Biomass,6,6
2003,IA,"Electric Generators, Independent Power Producers",Petroleum,78,79
2003,IA,"Electric Generators, Independent Power Producers",Wind,456,456
2003,IA,Total Electric Power Industry,All Sources,"10,691.00","10,074.00"
2003,IA,Total Electric Power Industry,Coal,"6,370.00","6,086.00"
2003,IA,Total Electric Power Industry,Hydroelectric,131,138
2003,IA,Total Electric Power Industry,Natural Gas,"1,958.00","1,715.00"
2003,IA,Total Electric Power Industry,Nuclear,597,562
2003,IA,Total Electric Power Industry,Other Biomass,108,113
2003,IA,Total Electric Power Industry,Petroleum,"1,066.00","1,000.00"
2003,IA,Total Electric Power Industry,Wind,462,460
2003,ID,"Combined Heat and Power, Electric Power",All Sources,33,32
2003,ID,"Combined Heat and Power, Electric Power",Natural Gas,21,21
2003,ID,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,12,12
2003,ID,"Combined Heat and Power, Industrial Power",All Sources,149,90
2003,ID,"Combined Heat and Power, Industrial Power",Coal,19,17
2003,ID,"Combined Heat and Power, Industrial Power",Other,16,15
2003,ID,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,114,58
2003,ID,"Electric Generators, Electric Utilities",All Sources,"2,566.00","2,439.00"
2003,ID,"Electric Generators, Electric Utilities",Hydroelectric,"2,294.00","2,221.00"
2003,ID,"Electric Generators, Electric Utilities",Natural Gas,266,212
2003,ID,"Electric Generators, Electric Utilities",Petroleum,5,5
2003,ID,"Electric Generators, Independent Power Producers",All Sources,580,441
2003,ID,"Electric Generators, Independent Power Producers",Hydroelectric,225,193
2003,ID,"Electric Generators, Independent Power Producers",Natural Gas,355,248
2003,ID,Total Electric Power Industry,All Sources,"3,327.00","3,002.00"
2003,ID,Total Electric Power Industry,Coal,19,17
2003,ID,Total Electric Power Industry,Hydroelectric,"2,520.00","2,414.00"
2003,ID,Total Electric Power Industry,Natural Gas,642,481
2003,ID,Total Electric Power Industry,Other,16,15
2003,ID,Total Electric Power Industry,Petroleum,5,5
2003,ID,Total Electric Power Industry,Wood and Wood Derived Fuels,126,70
2003,IL,"Combined Heat and Power, Commercial Power",All Sources,147,143
2003,IL,"Combined Heat and Power, Commercial Power",Coal,15,15
2003,IL,"Combined Heat and Power, Commercial Power",Hydroelectric,1,1
2003,IL,"Combined Heat and Power, Commercial Power",Natural Gas,128,124
2003,IL,"Combined Heat and Power, Commercial Power",Other Biomass,3,3
2003,IL,"Combined Heat and Power, Electric Power",All Sources,204,193
2003,IL,"Combined Heat and Power, Electric Power",Coal,12,6
2003,IL,"Combined Heat and Power, Electric Power",Natural Gas,192,187
2003,IL,"Combined Heat and Power, Industrial Power",All Sources,600,572
2003,IL,"Combined Heat and Power, Industrial Power",Coal,378,369
2003,IL,"Combined Heat and Power, Industrial Power",Natural Gas,155,140
2003,IL,"Combined Heat and Power, Industrial Power",Other Biomass,13,12
2003,IL,"Combined Heat and Power, Industrial Power",Other Gases,40,40
2003,IL,"Combined Heat and Power, Industrial Power",Petroleum,15,12
